"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.419333349E-3,-1.988773406E0,-4.924058707E-1,-1.141960047E0
1.534533332E-2,-1.800000727E0,-3.684092309E-1,-1.014853274E0
2.527233330E-2,-1.589962016E0,-2.525620016E-1,-1.031227816E0
3.519824997E-2,-1.628401612E0,2.174241824E-1,-1.069898962E0
4.512525001E-2,-1.152274536E0,6.572236772E-1,-1.451477730E0
5.505124998E-2,-3.527354769E-1,8.874651025E-1,-1.864364246E0
6.497725000E-2,1.642336696E-2,1.135074513E0,-1.654969021E0
7.490424998E-2,1.978364486E-1,1.495189760E0,-8.662889725E-1
8.483025001E-2,3.766137515E-1,1.821953221E0,-9.687666893E-3
9.475724999E-2,5.824207590E-1,1.884780091E0,3.824260300E-1
1.046832500E-1,9.343825762E-1,2.279052580E0,6.192558056E-1
1.146092500E-1,9.880800426E-1,2.907346135E0,6.517902982E-1
1.245362500E-1,8.807063060E-1,2.854981395E0,4.658821696E-1
1.344622500E-1,6.901057137E-1,2.390509866E0,1.811198437E-1
1.443892500E-1,4.861006719E-1,1.832275895E0,-3.925820589E-2
1.543152500E-1,1.308413539E-1,1.648130264E0,-1.802942169E-1
1.642412500E-1,-2.772309659E-1,1.809330837E0,-2.748618203E-1
1.741682500E-1,-5.554725866E-1,1.860049731E0,-1.310261625E-1
1.840942500E-1,-5.562015151E-1,1.702145234E0,8.870196909E-1
1.940202500E-1,8.343039354E-2,1.277539144E0,3.740833397E0
2.039472500E-1,1.149439367E0,1.110072403E0,4.023869040E0
2.138732500E-1,1.080686417E0,7.637160923E-1,4.147511339E0
2.238002500E-1,9.136778048E-1,8.301550801E-1,3.112548906E0
2.337262500E-1,5.632698852E-1,1.047650818E0,2.012958952E0
2.436522500E-1,7.431080923E-1,6.511864270E-1,1.546768050E0
2.535792500E-1,3.257070149E-1,2.583729646E-1,2.152444866E0
2.635052500E-1,-4.403898808E-1,7.203409349E-1,2.435779887E0
2.734322500E-1,-8.248626921E-1,9.172994240E-1,2.179725636E0
2.833582500E-1,-1.446875825E0,9.798356147E-1,2.470368506E0
2.932842500E-1,-1.891152387E0,1.200506829E0,3.380207541E0
3.032112500E-1,-1.591308338E0,1.230916078E0,4.397132483E0
3.131372500E-1,-4.446713948E-1,8.797837615E-1,4.541566896E0
3.230642500E-1,1.272559802E0,1.665319908E-1,4.015778248E0
3.329902500E-1,2.431183537E0,-4.125139014E-1,3.091742173E0
3.429162500E-1,3.356474862E0,-1.158640838E0,2.313826264E0
3.528432500E-1,3.395978943E0,-1.573398316E0,2.045621499E0
