"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
6.807923317E-3,6.502446433E1,2.548243086E1,1.463160271E1,NaN,NaN,2.899903861E1,3.000000000E1
6.050598621E-2,6.502446475E1,2.548242920E1,1.463160271E1,NaN,NaN,5.659464618E1,3.000310617E1
5.339459181E-1,6.502439710E1,2.548280960E1,1.423450264E1,NaN,NaN,2.581819625E1,3.000000000E1
1.162487030E0,6.502468984E1,2.548239514E1,7.257934570E0,6.800000072E-1,2.847656250E1,1.400000000E1,1.200000000E1
1.217545033E0,6.502469307E1,2.548239925E1,7.018920898E0,7.099999785E-1,2.812500000E1,1.400000000E1,1.200000000E1
2.236409903E0,6.502468259E1,2.548246211E1,1.610028076E1,7.099999785E-1,8.085937500E0,3.982815999E0,8.000000000E0
3.239390850E0,6.502468288E1,2.548248902E1,1.723876953E1,1.600000024E0,1.195312500E1,3.535533906E0,6.000000000E0
4.246678829E0,6.502468796E1,2.548250679E1,2.004071045E1,1.600000024E0,6.679687500E0,3.535533906E0,6.000000000E0
5.248700857E0,6.502469378E1,2.548252112E1,1.895562744E1,1.620000005E0,4.921875000E0,3.535533906E0,4.000000000E0
6.208153844E0,6.502470049E1,2.548253194E1,1.809313965E1,1.759999990E0,2.812500000E0,3.535533906E0,4.000000000E0
7.208159328E0,6.502470681E1,2.548253872E1,1.618060303E1,1.620000005E0,3.164062500E0,3.535533906E0,3.000000000E0
8.208167076E0,6.502471289E1,2.548254367E1,1.520904541E1,1.610000014E0,3.164062500E0,3.535533906E0,3.000000000E0
9.208175182E0,6.502472048E1,2.548254660E1,1.506793213E1,1.610000014E0,2.109375000E0,3.535533906E0,3.000000000E0
1.020817673E1,6.502473037E1,2.548254903E1,1.547106934E1,1.769999981E0,3.515625000E-1,3.535533906E0,3.000000000E0
1.120818102E1,6.502473980E1,2.548255079E1,1.542034912E1,1.769999981E0,1.054687500E0,3.535533906E0,3.000000000E0
1.220818889E1,6.502474956E1,2.548255239E1,1.540551758E1,1.570000052E0,3.164062500E0,3.535533906E0,3.000000000E0
1.320819283E1,6.502476362E1,2.548255423E1,1.568338802E1,1.570000052E0,3.164064167E0,4.748651530E0,4.029364438E0
1.420819640E1,6.502477441E1,2.548256279E1,1.580392673E1,1.570000052E0,1.089844321E1,4.748651530E0,4.029364438E0
1.520819831E1,6.502478398E1,2.548256656E1,1.527230668E1,1.470000029E0,1.054688018E1,4.748651530E0,4.029364438E0
1.620820069E1,6.502479407E1,2.548256813E1,1.468129945E1,1.470000029E0,8.789066820E0,4.748651530E0,4.029364438E0
1.720820308E1,6.502480426E1,2.548256776E1,1.475777076E1,1.419999957E0,4.218752009E0,4.748651530E0,4.029364438E0
